"filename","s1_maxfreq","s2_maxfreq","s1_minfreq","s2_minfreq","s1_peakfreq","s2_peakfreq","s1_specentropy","s2_specentropy","s1_maxslope","s2_maxslope","s1_minslope","s2_minslope"
"ind_1",3.35857402322136,2.87383484484296,2.14309297878323,2.21836883274656,2.45728237105413,2.35046086774505,0.550619431369537,0.522395422974109,0.460679791224193,0.952693586302772,-0.564852583950445,-0.471301361845025
"ind_2",3.35351616131759,2.88017613236162,2.33380143763583,2.23646792479717,2.39672179123726,2.22610603368072,0.550715622690342,0.522176728292965,0.321772870911238,0.90455937006628,-0.543471472246934,-0.482457347255992
"ind_3",3.21697561297573,2.94202316390157,2.31076834748463,2.24827811528981,2.46173284956558,2.28470000945814,0.572274822949205,0.503431195537259,0.542141010549968,1.44642779816234,-0.547034486370714,-0.431602017159164
"ind_4",3.01884429827615,2.87257236374765,2.27801448794969,2.25548472524169,2.49278123291727,2.20349547004846,0.559633794236789,0.524455911002698,0.433961405457081,1.28620648864156,-0.414407198851797,-0.29510058087104
"ind_5",3.04959127017501,2.86835392526638,2.22573687974119,2.26234470845419,2.40818871391246,2.2437956465378,0.532842270369331,0.502781292658534,0.397694848749676,1.38875834925254,-0.610008299875799,-0.37694169999001
"ind_6",2.81726163268356,2.98349878956623,2.24097232508094,2.20235633559707,2.42568306797456,2.2990703479862,0.541432549120052,0.503150759826857,0.471662450137269,1.28658967672156,-0.535945948524936,-0.451065332229945
"ind_7",3.26990785179756,2.93694268896161,2.33077334228283,2.25398624080165,2.47725200279236,2.23804032012237,0.564814243403391,0.516710731841122,0.413111487664853,1.21978201691996,-0.580896520983211,-0.409089166190922
"ind_8",3.01047300027503,2.94620763875951,2.1715822907557,2.21263722360655,2.47747031816175,2.30006642115967,0.553061890421593,0.506314619983112,0.402323164588567,1.00481973509157,-0.278440443388586,-0.324836193639555
"ind_9",3.00073225001948,3.01389100856838,2.15062515306162,2.26853260410835,2.47158360059733,2.29510027389208,0.575494470118521,0.501887831901245,0.415925836142711,1.17319537530941,-0.329471170607069,-0.290872595552982
"ind_9",3.01780446400374,2.95900170748071,2.15133179519402,2.26788150941338,2.46811981340524,2.29482858839781,0.563481210763566,0.49582559459824,0.395385807580643,1.21520251626709,-0.370371084843291,-0.327887693967679
"ind_10",3.06509771853737,2.91150039213793,2.20861976414689,2.23640987404796,2.50932232288487,2.2095665765975,0.561864785102215,0.534448249450378,0.42277152930472,1.191261830771,-0.253757767842945,-0.474425018852938
