"filename","s1_maxfreq","s2_maxfreq","s1_minfreq","s2_minfreq","s1_peakfreq","s2_peakfreq","s1_specentropy","s2_specentropy","s1_maxslope","s2_maxslope","s1_minslope","s2_minslope"
"ind_1",3.08526477791301,2.9881341116495,1.96739962811588,2.1855730871652,2.41534656223545,2.34233674764679,0.543823031698378,0.518448812638634,0.404849208629617,0.99403878697155,-0.604988245540119,-0.331152932569031
"ind_2",3.25893951397756,3.05424173889868,1.78694473848676,2.18339139811564,2.43353796364044,2.31242560539674,0.508782635126731,0.490386193711831,0.492902467543585,1.12818476936913,-0.594083831584901,-0.494586207516892
"ind_3",3.05914261223692,2.9416858538201,1.93083705781668,2.16602213709783,2.45929542618812,2.36355465472883,0.541031755922649,0.497334097675359,0.509278921458821,1.15611844285851,-0.487559270266943,-0.277504023597137
"ind_4",3.16662652734009,3.08896057518184,1.98663554693182,2.20815988221546,2.44896208895357,2.46674826379496,0.518243319700849,0.51122013870603,0.331531355433925,1.36581317564549,-0.606147153182242,-0.378172319619425
"ind_5",2.8212529021466,3.22677809395204,1.84615278406858,2.12765500946868,2.46000630659887,2.18785322542387,0.513405761057149,0.494620373066027,0.356053837118614,1.2839026665856,-0.727641672776335,-0.332438134364029
"ind_6",3.04785438478824,3.01932773910428,1.97095501231309,2.16187181286863,2.45983466639971,2.17375427827489,0.538520029872285,0.530542790626006,0.492758164616158,1.25429364300499,-0.441716989915773,-0.344408911190553
"ind_7",3.27518645291042,3.02787414187899,1.96077566547687,2.16854995591615,2.47708870121931,2.16690729465441,0.51746354143966,0.526171058991346,0.477022630921383,1.02674681395438,-0.628431803660192,-0.330334129951332
"ind_8",3.10449815233399,3.19461806339753,1.99975858710753,2.16612000355338,2.47073132498816,2.38660193762971,0.570323051786184,0.490501069893253,0.444104460596695,1.23376760127192,-0.355149530957903,-0.347871612481785
"ind_9",3.23388192573458,3.02568874902736,1.73739819703702,2.17327068848853,2.50686872291533,2.27872627858753,0.523468350354162,0.481489432303559,0.379173910450627,1.49265291536125,-0.585532304578632,-0.35898682283563
"ind_10",2.97361259267691,2.75582464724735,1.98468192198298,2.19121576517081,2.44402320735614,2.45288616216563,0.572847181466114,0.498121852860461,0.348365823167874,1.20751772418549,-0.373913209981778,-0.451828737031734
"ind_11",3.39474678424536,2.96383662456725,2.01266440633239,2.15097565379599,2.51519996130799,2.34935433683274,0.588540481962725,0.533388350619888,0.293266241533818,1.35187440840952,-0.70266869285217,-0.507247725364437
"ind_12",3.41126221193075,3.02033022701298,2.1970626609081,2.17852788697283,2.47701683510321,2.27652258428197,0.540062323016011,0.500828090874152,0.484898254573913,1.04832383556116,-0.335819463367462,-0.379002253172237
"ind_13",3.09501389858753,3.02051978006686,2.31583602607694,2.17515038275762,2.47009373703613,2.3987806970497,0.560793750081205,0.495864111631116,0.375313088653885,1.17326040889865,-0.545443531141016,-0.388583504987365
"ind_14",3.43143097065472,2.88680048335006,1.96998844414869,2.21370483722253,2.48278439449675,2.44107679553478,0.561677891948737,0.516539867956871,0.369679884726836,1.38443856042847,-0.569321930451525,-0.571981768547816
"ind_15",3.08295445991637,3.23687908157066,2.09967621382956,2.1533184100497,2.46414193610818,2.3720107182551,0.556131712188363,0.501459655980031,0.270423119895851,1.33947654513021,-0.406978727378147,-0.253603570371659
"ind_16",2.92532777782341,3.16507101615867,2.00406447630918,2.19628217994448,2.42256490515859,2.18117810894544,0.555324534672147,0.520263097266958,0.388698350765687,1.17211893723931,-0.557300743357244,-0.461305444210644
"ind_17",3.02143020385331,3.22101418718652,2.05706448903717,2.18335890176997,2.43050537036924,2.29628674257685,0.531427851670387,0.511743963272657,0.500288568644659,1.07899533716367,-0.581986036781464,-0.435958369821346
"ind_17",3.07658150764258,3.18158629518597,2.05009124127208,2.1805936028692,2.43832499471287,2.30208300922233,0.527602824412356,0.507592660873556,0.504314488146735,1.10418313414632,-0.542227523214418,-0.450238100059439
"ind_18",2.77697640233135,3.16441256299047,1.98436297252987,2.17692245844608,2.45771913906626,2.34837730755207,0.579113576975436,0.514024027535168,0.362788099889194,1.56011868873281,-0.455896632720408,-0.382023248353961
"ind_18",2.83123751520652,3.13697580868006,1.98890201532209,2.17481174194988,2.45921328090383,2.3239204347541,0.571172545398559,0.521322520760484,0.366069055383107,1.55487701723215,-0.464937331730356,-0.383581343945472
"ind_19",3.01106788844465,3.02215593385051,2.06121702231577,2.18743793909178,2.45592898790215,2.37799255084645,0.544805483273282,0.508599237248632,0.396872551054994,1.40354409870901,-0.377935385486235,-0.371389224676501
"ind_19",3.02419410597136,3.06887629320185,2.04119129721053,2.18052740474456,2.45811100316161,2.38869434652164,0.540301648444216,0.510349738522688,0.405661872406158,1.45723309403738,-0.383432732610218,-0.372299400862363
"ind_20",3.17087602784323,3.02179381861585,2.10227749106579,2.14487478942717,2.42629362728825,2.27080783053759,0.512978478279772,0.507389483002944,0.535584698942947,1.30149726051446,-0.532169826640484,-0.477392695507166
